id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , Log Parabola signif. , Peak Interval , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Low confidence Class , Association , Low Confidence Assoc. , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
32 , 4FGL J0013.6+4051 , 3.4014 , 40.8563 ,  , 6.1323133 , 0.012294384 ,  ,  ,  , N ,  , agn ,  , 4C +40.01 ,  , 0.9970998 , 3.37970918333 , 40.8603178333 , 0.000000068
33 , 4FGL J0013.6-0424 , 3.4208 , -4.4017 ,  , 5.0501785 , 1.0614702 ,  ,  ,  , N ,  , fsrq ,  , PKS 0011-046 ,  , 0.9918854 , 3.4755456625 , -4.39785967222 , 0.00000012
34 , 4FGL J0013.9-1854 , 3.4804 , -18.9118 ,  , 11.508996 , 1.2266417 ,  , 3FGL J0013.9-1853 ,  , P , SHBL J001355.9-185406 , bll ,  , RBS 0030 ,  , 0.99950737 , 3.48351326667 , -18.9018600611 , 0.0000008
35 , 4FGL J0014.1+1910 , 3.5368 , 19.1713 ,  , 6.2304435 , 2.659895 ,  , 2FGL J0013.8+1907 ,  , N ,  , bll ,  , MG3 J001356+1910 ,  , 0.9916659 , 3.48490050417 , 19.1783099694 , 0.00000013
36 , 4FGL J0014.1-5022 , 3.5479 , -50.3703 ,  , 10.176719 , 1.7620411 ,  , 3FGL J0014.0-5025 ,  , N ,  , bll ,  , RBS 0032 ,  , 0.999756 , 3.54776027917 , -50.3763770917 , 0.000028
37 , 4FGL J0014.2+0854 , 3.5695 , 8.9114 ,  , 4.5348425 , 0.58525515 ,  ,  ,  , N ,  , bll ,  , MS 0011.7+0837 ,  , 0.9983077 , 3.58224983333 , 8.90056895556 , 0.00000039
38 , 4FGL J0014.3-0500 , 3.5864 , -5.012 ,  , 10.860766 , 0.33971137 , 31559456 , 3FGL J0014.3-0455 ,  , N ,  , bcu ,  , GALEXASC J001420.46-045929.1 ,  , 0.9956731 , 3.5851388375 , -4.99133922222 , 0.00000021
39 , 4FGL J0014.7+5801 , 3.6867 , 58.0272 ,  , 9.260634 , 1.92132 ,  , 3FGL J0014.7+5802 ,  , N ,  , bll ,  , 1RXS J001442.2+580201 ,  , 0.9999288 , 3.675539970397949 , 58.033668518066406 , 0.0045
40 , 4FGL J0014.8+6118 , 3.7212 , 61.3037 ,  , 14.048099 , 3.4934657 ,  , 3FGL J0014.6+6119 ,  , N ,  , bcu ,  , 4C +60.01 ,  , 0.9992715 , 3.70330043333 , 61.2954285139 , 0.00000011
41 , 4FGL J0014.9+3212 , 3.7268 , 32.2162 ,  , 9.800221 , 3.0807612 ,  ,  ,  , N ,  , bcu ,  , 3C 6 ,  , 0.96470517 , 3.77561423333 , 32.2703638194 , 0.00000014
42 , 4FGL J0015.2+3537 , 3.8247 , 35.6172 ,  , 5.399805 , 0.7804479 ,  ,  ,  , N ,  , bll ,  , RX J0015.4+3536 ,  , 0.99849707 , 3.8661999702453613 , 35.610801696777344 , 0.009
43 , 4FGL J0015.6+5551 , 3.9071 , 55.8636 ,  , 10.681839 , 0.5630203 ,  , 3FGL J0015.7+5552 ,  , N ,  , bll ,  , GB6 J0015+5551 ,  , 0.99993026 , 3.91729009167 , 55.8624089417 , 0.00000065
44 , 4FGL J0015.9+2440 , 3.9917 , 24.6805 ,  , 8.170248 , 0.8798769 ,  ,  ,  , N ,  , bcu ,  , GB6 J0016+2440 ,  , 0.9978396 , 4.01507039167 , 24.6707497861 , 0.00000077
45 , 4FGL J0016.2-0016 , 4.061 , -0.2806 ,  , 20.640505 , 4.009281 , 31560000 , 3FGL J0016.3-0013 ,  , N ,  , fsrq ,  , S3 0013-00 ,  , 0.997477 , 4.04620230417 , -0.253457036111 , 0.000000075
46 , 4FGL J0016.5+1702 , 4.1396 , 17.0389 ,  , 5.7312074 , 2.5804365 ,  , 3FGL J0016.5+1713 ,  , N ,  , fsrq ,  , GB6 J0015+1700 ,  , 0.80752254 , 3.9165799617767334 , 17.011390686035156 , 0.0045
47 , 4FGL J0017.0-0649 , 4.2635 , -6.8317 ,  , 10.720092 , 0.66064906 , 31560000 , 3FGL J0017.2-0643 ,  , N ,  , bcu ,  , PMN J0017-0650 ,  , 0.9970226 , 4.28907083333 , -6.84262073611 , 0.00000069
48 , 4FGL J0017.5-0514 , 4.3949 , -5.2347 ,  , 23.148046 , 3.1191134 , 31560000 , 3FGL J0017.6-0512 ,  , N ,  , FSRQ ,  , PMN J0017-0512 ,  , 1 , 4.39923841667 , -5.21160222222 , 0.00000011
49 , 4FGL J0017.8+1455 , 4.4711 , 14.9228 ,  , 7.4618998 , 1.6166002 ,  ,  ,  , N ,  , bll ,  , GB6 J0017+1450 ,  , 0.9556661 , 4.40376599583 , 14.8505221083 , 0.00000022
50 , 4FGL J0018.4+2946 , 4.6151 , 29.7792 ,  , 12.004145 , 1.9924904 ,  , 3FGL J0018.4+2947 ,  , N ,  , bll ,  , RBS 0042 ,  , 0.9997198 , 4.615790275 , 29.7919899722 , 0.0000003
51 , 4FGL J0019.2-5640 , 4.8106 , -56.6826 ,  , 8.953907 , 0.3739991 , 31332582 , 3FGL J0019.1-5645 ,  , N ,  , bcu ,  , PMN J0019-5641 ,  , 0.9977795 , 4.86088295833 , -56.6951271778 , 0.00000098
52 , 4FGL J0019.3-8152 , 4.8327 , -81.8798 ,  , 15.827942 , 0.4083841 ,  , 3FGL J0018.9-8152 ,  , N ,  , bll ,  , PMN J0019-8152 ,  , 0.9998258 , 4.83601874167 , -81.8809475222 , 0.0000014
53 , 4FGL J0019.6+7327 , 4.9031 , 73.456 ,  , 21.933533 , 2.5625913 , 31559456 ,  ,  , N ,  , fsrq ,  , S5 0016+73 ,  , 0.99985063 , 4.94077657083 , 73.4583382333 , 0.000000068
54 , 4FGL J0019.6+2022 , 4.907 , 20.3755 ,  , 9.600923 , 1.8228939 ,  , 3FGL J0019.4+2021 ,  , N ,  , bll ,  , PKS 0017+200 ,  , 0.9986458 , 4.90772707083 , 20.3626790694 , 0.000000068
55 , 4FGL J0021.0+0322 , 5.2565 , 3.3783 ,  , 7.1000338 , 1.2610363 ,  , 3FGL J0020.9+0323 ,  , N ,  , bcu ,  , 2MASS J00205023+0323578 ,  , 0.89689606 , 5.209364891052246 , 3.3994665145874023 , 0.0045
56 , 4FGL J0021.5-2552 , 5.3912 , -25.8681 ,  , 21.203888 , 1.133172 , 31560000 , 3FGL J0021.6-2553 ,  , N ,  , bll ,  , CRATES J002132.55-255049.3 ,  , 0.9981949 , 5.3856229 , -25.8470519611 , 0.00000045
57 , 4FGL J0021.6-0855 , 5.4115 , -8.9174 ,  , 4.7426553 , 1.4760517 ,  ,  ,  , N ,  , bll ,  , NVSS J002142-090044 ,  , 0.9744128 , 5.426040172576904 , -9.012310028076172 , 0.0045
58 , 4FGL J0021.9-5140 , 5.4985 , -51.6728 ,  , 22.871876 , 1.059753 , 31560000 , 3FGL J0022.1-5141 ,  , N ,  , bll ,  , 1RXS J002159.2-514028 ,  , 0.9998968 , 5.500329971313477 , -51.67338943481445 , 0.0045
59 , 4FGL J0022.0+0006 , 5.5154 , 0.1134 ,  , 7.358484 , 0.9743299 ,  ,  ,  , N ,  , bll ,  , RX J0022.0+0006 ,  , 0.99893326 , 5.503958225250244 , 0.11611111462116241 , 0.009
60 , 4FGL J0022.1-1854 , 5.5353 , -18.9068 ,  , 25.478495 , 2.6534843 ,  , 3FGL J0022.1-1855 ,  , N ,  , bll ,  , 1RXS J002209.2-185333 ,  , 0.99966353 , 5.53862082917 , -18.8930185972 , 0.00000035
61 , 4FGL J0022.5+0608 , 5.6376 , 6.1343 ,  , 41.94831 , 1.6125371 , 31560000 , 3FGL J0022.5+0608 ,  , N ,  , bll ,  , PKS 0019+058 ,  , 0.99987024 , 5.6351717375 , 6.13451915833 , 0.000000068
62 , 4FGL J0023.7-6820 , 5.9347 , -68.3381 ,  , 12.622714 , 1.9217516 , 31560000 , 3FGL J0021.6-6835 ,  , N ,  , bcu ,  , PKS 0021-686 ,  , 0.996154 , 6.028012125 , -68.3484964083 , 0.00000053
63 , 4FGL J0023.7+4457 , 5.9477 , 44.951 ,  , 13.386444 , 1.9071074 , 31559456 , 3FGL J0023.5+4454 ,  , N ,  , fsrq ,  , B3 0020+446 ,  , 0.9976239 , 5.89767695833 , 44.9432661806 , 0.000000095
64 , 4FGL J0023.9+1603 , 5.9819 , 16.0639 ,  , 8.42375 , 2.4179752 ,  ,  ,  , N ,  , bll ,  , 87GB 002122.5+154553 ,  , 0.997018 , 6.005336625 , 16.0427651639 , 0.0000005
65 , 4FGL J0024.4+4647 , 6.1212 , 46.797 ,  , 6.0921693 , 0.7276206 ,  ,  ,  , N ,  , bcu ,  , B3 0021+464 ,  , 0.9415452 , 6.08974019167 , 46.7350638083 , 0.0000001
66 , 4FGL J0024.7+0349 , 6.1975 , 3.8321 ,  , 6.054029 , 0.9701172 , 31332582 , 3FGL J0024.4+0350 ,  , N ,  , fsrq ,  , GB6 J0024+0349 ,  , 0.9975917 , 6.188405075 , 3.81766335278 , 0.00000017
67 , 4FGL J0025.2-2231 , 6.3034 , -22.5328 ,  , 4.5509667 , 0.19492668 ,  ,  ,  , N ,  , fsrq ,  , PMN J0025-2228 ,  , 0.9489406 , 6.351030875 , -22.4632213139 , 0.00000013
68 , 4FGL J0025.7-4801 , 6.4351 , -48.0191 ,  , 12.890867 , 1.6883891 , 31560000 ,  ,  , N ,  , bcu ,  , MRSS 194-093029 ,  , 0.9858329 , 6.44092530833 , -48.0653061722 , 0.0000015
69 , 4FGL J0026.6-4600 , 6.6521 , -46.0156 ,  , 9.678034 , 0.45964387 ,  , 3FGL J0026.7-4603 ,  , N ,  , bll ,  , 1RXS J002636.3-460101 ,  , 0.99990463 , 6.647500038146973 , -46.01969909667969 , 0.0045
70 , 4FGL J0028.1+7505 , 7.0444 , 75.0962 ,  , 7.8989735 , 3.3273304 ,  , 3FGL J0028.6+7507 ,  , N ,  , bcu ,  , GB6 J0028+7506 ,  , 0.99707437 , 7.054392475 , 75.1036241833 , 0.00000048
71 , 4FGL J0028.4+2001 , 7.1222 , 20.0311 ,  , 13.547593 , 1.123353 , 31559456 , 3FGL J0028.8+1951 ,  , N ,  , fsrq ,  , TXS 0025+197 ,  , 0.9976342 , 7.12424369167 , 20.0074288944 , 0.000000068
72 , 4FGL J0028.9+3553 , 7.2251 , 35.8904 ,  , 6.226772 , 0.15077801 ,  ,  ,  , N ,  , bcu ,  , GB6 J0028+3550 ,  , 0.98213834 , 7.2165422439575195 , 35.84334945678711 , 0.0045
73 , 4FGL J0029.0-7044 , 7.2509 , -70.7414 ,  , 18.739412 , 1.1358839 , 31560000 , 3FGL J0029.1-7045 ,  , N ,  , bll ,  , PKS 0026-710 ,  , 0.99931973 , 7.1731794 , -70.7544244639 , 0.00000063
74 , 4FGL J0029.4+2051 , 7.3665 , 20.8662 ,  , 5.4575253 , 2.1865823 ,  ,  ,  , N ,  , bcu ,  , NVSS J002928+205332 ,  , 0.99705195 , 7.369166851043701 , 20.8926944732666 , 0.0045
75 , 4FGL J0030.2-1647 , 7.5643 , -16.7975 ,  , 13.651061 , 2.3859136 , 31560000 , 3FGL J0030.2-1646 ,  , N ,  , bll ,  , 1RXS J003019.6-164723 ,  , 0.9995532 , 7.58519942917 , -16.7869713833 , 0.00000037
76 , 4FGL J0030.3-4224 , 7.5958 , -42.4127 ,  , 35.296204 , 2.6456742 , 31560000 , 3FGL J0030.3-4223 ,  , N ,  , fsrq ,  , PKS 0027-426 ,  , 0.9994261 , 7.57288592917 , -42.4129118778 , 0.00000031
77 , 4FGL J0030.6-0212 , 7.6558 , -2.2014 ,  , 43.08195 , 4.341539 , 31560000 , 3FGL J0030.7-0209 ,  , N ,  , bcu ,  , PKS B0027-024 ,  , 0.9876088 , 7.63259895 , -2.1989259 , 0.00000014
78 , 4FGL J0031.3+0726 , 7.83 , 7.4443 ,  , 7.5487576 , 0.49854127 ,  , 3FGL J0031.3+0724 ,  , N ,  , bll ,  , NVSS J003119+072456 ,  , 0.9895536 , 7.83212394167 , 7.41487718889 , 0.00000033
79 , 4FGL J0032.3-5522 , 8.0778 , -55.3668 ,  , 18.38948 , 2.7500248 , 31560000 , 3FGL J0032.3-5522 ,  , N ,  , bcu ,  , SUMSS J003210-552228 ,  , 0.9991089 , 8.04550094583 , -55.3744364833 , 0.000018
80 , 4FGL J0032.4-2849 , 8.1076 , -28.8224 ,  , 7.5993605 , 0.9477519 ,  , 3FGL J0032.3-2852 ,  , N ,  , bll ,  , PMN J0032-2849 ,  , 0.99433035 , 8.13790435833 , -28.8223311722 , 0.00000069
81 , 4FGL J0033.5-1921 , 8.3954 , -19.3593 ,  , 62.083744 , 4.6813107 , 31560000 , 3FGL J0033.6-1921 ,  , P , KUV 00311-1938 , bll ,  , KUV 00311-1938 ,  , 0.99997485 , 8.39325065417 , -19.3592032028 , 0.00000035
82 , 4FGL J0033.9+3858 , 8.483 , 38.9716 ,  , 6.516642 , 0.46277466 , 31560000 ,  ,  , N ,  , bcu ,  , MG3 J003408+3901 ,  , 0.98572415 , 8.50998734167 , 39.0104198222 , 0.00000031
83 , 4FGL J0034.0-4116 , 8.5142 , -41.2708 ,  , 9.386996 , 0.40498015 , 31560000 ,  ,  , N ,  , bcu ,  , 2MASS J00341272-4116243 ,  , 0.9962578 , 8.51836992083 , -41.2720757111 , 0.000002
84 , 4FGL J0035.0-5728 , 8.7521 , -57.4714 ,  , 6.2422285 , 1.0813146 ,  ,  ,  , N ,  , bcu ,  , PMN J0035-5726 ,  , 0.97466546 , 8.764370918273926 , -57.435569763183594 , 0.0045
85 , 4FGL J0035.2+1514 , 8.8123 , 15.2405 ,  , 29.396303 , 2.312174 , 31559456 , 3FGL J0035.2+1513 ,  , N ,  , bll ,  , RX J0035.2+1515 ,  , 0.99962795 , 8.81135048333 , 15.251153775 , 0.00000035
86 , 4FGL J0035.8+6131 , 8.9684 , 61.5234 ,  , 5.668143 , 0.34014556 , 31559456 ,  ,  , N ,  , bcu ,  , LQAC 008+061 ,  , 0.93978786 , 8.8554606875 , 61.5085448556 , 0.0000001
87 , 4FGL J0035.9+5950 , 8.9823 , 59.8334 ,  , 61.30663 , 3.1193051 , 31560000 , 3FGL J0035.9+5949 ,  , P , 1ES 0033+595 , bll ,  , 1ES 0033+595 ,  , 0.999984 , 8.96935455 , 59.8345874917 , 0.00000016
88 , 4FGL J0036.9+1832 , 9.234 , 18.5424 ,  , 8.807459 , 1.6810617 , 31560000 ,  ,  , N ,  , bcu ,  , CRATES J003659.39+183203.7 ,  , 0.9939069 , 9.2475465 , 18.5343487917 , 0.00000069
89 , 4FGL J0037.6+3653 , 9.4045 , 36.8964 ,  , 5.0902 , 0.35258824 ,  ,  ,  , N ,  , fsrq ,  , NVSS J003751+365844 ,  , 0 , 9.442255020141602 , 36.98637390136719 , 0.0045
90 , 4FGL J0037.8+1239 , 9.4695 , 12.6527 ,  , 18.105642 , 0.20076561 , 31560000 , 3FGL J0037.9+1239 ,  , N ,  , bll ,  , NVSS J003750+123818 ,  , 0.9994158 , 9.46200105417 , 12.6388553694 , 0.0000003
91 , 4FGL J0037.9+2612 , 9.4823 , 26.201 ,  , 4.2739406 , 0.78205717 ,  ,  ,  , N ,  , bll ,  , WISE J003719.15+261312.6 ,  , 0.8784728 , 9.329830169677734 , 26.220060348510742 , 0.0045
92 , 4FGL J0038.1+0012 , 9.5394 , 0.2118 ,  , 13.104912 , 0.14986882 ,  , 3FGL J0038.0+0012 ,  , N ,  , bll ,  , NVSS J003808+001336 ,  , 0.99888945 , 9.535455025 , 0.226807130556 , 0.00000035
93 , 4FGL J0038.2-2459 , 9.5652 , -24.9899 ,  , 10.485855 , 2.6864834 , 31332582 , 3FGL J0038.0-2501 ,  , N ,  , fsrq ,  , PKS 0035-252 ,  , 0.99873435 , 9.56139794583 , -24.9839542417 , 0.000000068
94 , 4FGL J0038.7-0204 , 9.6899 , -2.0722 ,  , 7.5016265 , 3.0324664 ,  ,  ,  , N ,  , rdg ,  , 3C 17 ,  , 0 , 9.58505630493164 , -2.1279098987579346 , 0.0045
95 , 4FGL J0039.0-0946 , 9.7556 , -9.7828 ,  , 10.35473 , 1.4058162 ,  , 3FGL J0039.1-0939 ,  , N ,  , fsrq ,  , TXS 0036-099 ,  , 0.9931964 , 9.77621527083 , -9.71302482222 , 0.00000017
96 , 4FGL J0039.1-2219 , 9.7782 , -22.3276 ,  , 9.915741 , 1.1591498 ,  , 3FGL J0039.0-2218 ,  , N ,  , bcu ,  , PMN J0039-2220 ,  , 0.99429685 , 9.7842046875 , -22.3337442694 , 0.00000041
97 , 4FGL J0039.1+4330 , 9.7994 , 43.5122 ,  , 8.829047 , 2.2992377 , 31332582 , 3FGL J0039.1+4330 ,  , N ,  , bcu ,  , NVSS J003907+433015 ,  , 0.99839205 , 9.78399802917 , 43.5040607806 , 0.00000067
98 , 4FGL J0040.3+4050 , 10.0989 , 40.8362 ,  , 8.012128 , 2.4398932 ,  , 3FGL J0040.3+4049 ,  , N ,  , bll ,  , B3 0037+405 ,  , 0.9963499 , 10.057499885559082 , 40.83440017700195 , 0.009
99 , 4FGL J0040.4-2340 , 10.1012 , -23.6704 ,  , 7.87368 , 2.1227207 ,  , 3FGL J0040.5-2339 ,  , N ,  , bll ,  , PMN J0040-2340 ,  , 0.99864256 , 10.1037706375 , -23.6668797417 , 0.00000079
100 , 4FGL J0040.9+3203 , 10.2393 , 32.0529 ,  , 4.7096252 , 2.205684 ,  ,  ,  , N ,  , bcu ,  , TXS 0038+319 ,  , 0.8193559 , 10.31641960144043 , 32.18544006347656 , 0.0045
101 , 4FGL J0041.3+6052 , 10.343 , 60.8783 ,  , 9.842979 , 4.6084065 ,  ,  ,  , N ,  , bcu ,  , NVSS J004058+605407 ,  ,  , 10.2424004667 , 60.9017328056 , 0.0000015
102 , 4FGL J0041.4+3800 , 10.3697 , 38.0097 ,  , 6.773312 , 1.173404 ,  ,  ,  , N ,  , fsrq ,  , B3 0038+377 ,  , 0.9803674 , 10.3459950292 , 37.9821662111 , 0.00000076
103 , 4FGL J0041.7-1607 , 10.4382 , -16.121 ,  , 4.978177 , 1.5218347 ,  ,  ,  , N ,  , bcu ,  , GALEXASC J004141.24-160746.6 ,  ,  , 10.4216878833 , -16.1297751028 , 0.0000034
104 , 4FGL J0042.0+3640 , 10.5053 , 36.6724 ,  , 5.7158866 , 0.45371884 ,  , 3FGL J0041.9+3639 ,  , N ,  , bll ,  , RX J0042.0+3641 ,  , 0.9986084 , 10.533300399780273 , 36.68669891357422 , 0.009
105 , 4FGL J0042.2+2319 , 10.5581 , 23.3271 ,  , 12.997248 , 2.1565094 ,  , 3FGL J0042.0+2318 ,  , N ,  , fsrq ,  , PKS 0039+230 ,  , 0.9895131 , 10.5189382125 , 23.3336283389 , 0.000000075
106 , 4FGL J0043.5-0442 , 10.8766 , -4.7007 ,  , 7.2558775 , 0.07442748 ,  , 3FGL J0043.5-0444 ,  , N ,  , bll ,  , 1RXS J004333.7-044257 ,  , 0.99855196 , 10.8921778542 , -4.71684286944 , 0.00000037
107 , 4FGL J0043.6+2223 , 10.9095 , 22.3864 ,  , 5.886976 , 0.88656145 ,  ,  ,  , N ,  , bcu ,  , TXS 0040+221 ,  , 0.9946735 , 10.8904511083 , 22.3962747528 , 0.00000066
